"AirQualityStationNatCode","Longitude","Latitude","AirQualityStationType","AirQualityStationArea","AQValue"
"2",4.87612,52.385002,"traffic","urban",48.38676554
"3",4.943897,52.388889,"background","urban",23.99754565
"7",4.845011,52.381111,"traffic","urban",43.87062492
"12",4.888058,52.390003,"traffic","urban",35.44670291
"14",4.808897,52.359997,"background","urban",25.19041762
"17",4.9,52.358055,"traffic","urban",35.17531124
"20",4.860842,52.375832,"traffic","urban",43.52858295
"21",4.988894,52.321388,"background","urban",22.49367073
"22",4.79362,52.378887,"background","urban",21.56892047
"107",6.043064,51.120277,"background","rural",17.04429399
"131",5.853614,51.541111,"background","rural",18.53027621
"133",5.882236,50.903057,"background","suburban",14.20514158
"136",5.971114,50.888058,"traffic","urban",26.43825925
"230",5.148902,51.519444,"background","rural",21.08552716
"235",4.360286,51.435001,"background","rural",17.87514957
"236",5.472784,51.469723,"traffic","urban",24.466614
"237",5.4289,51.44528,"traffic","urban",29.48280305
"240",4.825008,51.593609,"traffic","suburban",33.34264095
"240",4.825008,51.593609,"traffic","suburban",33.34264095
"241",4.780847,51.603333,"background","suburban",23.28607423
"247",5.393333,51.407501,"background","urban",19.21197943
"301",3.916947,51.635559,"background","rural",14.77305564
"318",3.749458,51.295277,"background","rural",15.348771
"404",4.289172,52.078056,"background","urban",24.40223844
"418",4.480289,51.915001,"background","urban",31.63162061
"433",4.326953,51.911392,"traffic","urban",34.06634252
"437",4.450841,51.787498,"background","rural",18.63334308
"442",4.708214,51.800659,"background","urban",22.93368692
"444",4.510286,52.298054,"background","rural",14.30828149
"445",4.316125,52.075,"traffic","urban",33.93802746
"446",4.360564,52.039722,"background","suburban",26.85695585
"446",4.360564,52.039722,"background","suburban",26.85695585
"HGV",4.355278,51.866108,"industrial","urban",26.88322845
"RPW",4.481111,51.891113,"traffic","urban",40.51985327
"RZW",4.4875,51.89389,"background","urban",28.18948524
"RID",4.574722,51.868889,"traffic","urban",37.97889193
"RDO",4.431111,51.938056,"traffic","urban",37.75490621
"RDS",4.461667,51.926944,"traffic","urban",44.30123399
"SDM",4.401389,51.921111,"background","urban",31.33188914
"MSL",4.227778,51.931946,"industrial","urban",31.14523182
"HHB",4.121389,51.978056,"industrial","rural",28.59846944
"538",5.050842,52.804722,"background","rural",12.16566939
"546",4.832064,52.420219,"industrial","urban",30.41997446
"551",4.601922,52.463014,"industrial","urban",26.55001158
"561",4.773589,52.333561,"background","rural",30.5321667
"564",4.766678,52.287428,"background","rural",23.1219883
"565",4.715072,52.32745,"background","rural",23.54919921
"633",4.838336,52.138889,"background","rural",16.0362792
"636",5.125286,52.106111,"traffic","urban",28.56687719
"641",4.988614,52.203056,"traffic","rural",32.39306364
"643",5.128334,52.102222,"background","urban",22.12969968
"643",5.128334,52.102222,"background","urban",22.12969968
"644",4.92343,51.97464,"background","rural",17.38407081
"701",4.816667,52.450001,"background","urban",22.28240609
"703",4.73,52.400002,"background","rural",19.76776658
"704",4.77,52.43,"industrial","urban",26.4081833
"722",6.605839,52.0925,"background","rural",13.14038359
"738",5.708619,52.112499,"background","rural",15.22019301
"741",5.858061,51.848889,"traffic","urban",32.1627869
"742",5.858061,51.838889,"background","urban",22.79054256
"807",6.403614,52.389168,"background","rural",12.15322868
"818",6.01807,52.655003,"background","rural",11.05368928
"918",5.573492,52.916916,"background","rural",9.68206122
"929",6.933333,52.876663,"background","rural",10.50815119
"934",6.277509,53.331665,"background","rural",8.31731511
"937",6.5789,53.218056,"traffic","urban",24.78170189
"938",6.608897,53.246944,"background","suburban",11.08726053
