"row","col","ID"
500,500,1
500,1500,2
500,2500,3
500,4500,4
500,6500,5
500,7000,6
500,8500,7
500,9000,8
500,10000,9
500,11500,10
500,12500,11
500,12949,12
1000,1000,13
1000,4500,14
1000,5000,15
1000,5500,16
1000,6000,17
1000,7000,18
1000,8000,19
1000,10500,20
1000,11500,21
1500,1000,22
1500,1500,23
1500,3500,24
1500,4000,25
1500,4500,26
1500,5000,27
1500,6000,28
1500,7000,29
1500,8000,30
1500,9000,31
1500,9500,32
1500,10000,33
1500,10500,34
1500,11000,35
1500,11500,36
1500,12000,37
1500,12500,38
1500,12949,39
2000,1000,40
2000,1500,41
2000,2000,42
2000,3000,43
2000,3500,44
2000,4500,45
2000,5500,46
2000,6000,47
2000,6500,48
2000,7000,49
2000,8000,50
2000,8500,51
2000,9000,52
2000,9500,53
2000,10000,54
2000,12000,55
2000,12949,56
2500,500,57
2500,1000,58
2500,1500,59
2500,2000,60
2500,2500,61
2500,3500,62
2500,4000,63
2500,4500,64
2500,5000,65
2500,5500,66
2500,6000,67
2500,7500,68
2500,8000,69
2500,8500,70
2500,9000,71
2500,9500,72
2500,10000,73
2500,10500,74
2500,11000,75
2500,11500,76
2500,12000,77
3000,500,78
3000,1000,79
3000,2000,80
3000,4000,81
3000,5000,82
3000,5500,83
3000,6500,84
3000,7500,85
3000,9000,86
3000,9500,87
3000,10000,88
3000,11000,89
3000,11500,90
3000,12000,91
3500,500,92
3500,1500,93
3500,2000,94
3500,2500,95
3500,3000,96
3500,5000,97
3500,5500,98
3500,6000,99
3500,6500,100
3500,7000,101
3500,7500,102
3500,8500,103
3500,10000,104
3500,11500,105
3500,12500,106
4000,1000,107
4000,1500,108
4000,2000,109
4000,2500,110
4000,3000,111
4000,3500,112
4000,4000,113
4000,5000,114
4000,5500,115
4000,6500,116
4000,8500,117
4000,9000,118
4000,10500,119
4000,11000,120
4000,12500,121
4000,12949,122
4500,1000,123
4500,1500,124
4500,3500,125
4500,4000,126
4500,4500,127
4500,5000,128
4500,6000,129
4500,7000,130
4500,9500,131
4500,10000,132
4500,12000,133
4500,12949,134
5000,500,135
5000,2000,136
5000,2500,137
5000,3000,138
5000,3500,139
5000,4000,140
5000,4500,141
5000,5000,142
5000,5500,143
5000,6000,144
5000,6500,145
5000,7000,146
5000,7500,147
5000,8000,148
5000,9500,149
5000,10500,150
5000,11000,151
5000,12000,152
5000,12500,153
5500,1500,154
5500,2000,155
5500,2500,156
5500,3000,157
5500,4000,158
5500,4500,159
5500,5000,160
5500,5500,161
5500,8500,162
5500,9000,163
5500,9500,164
5500,10500,165
5500,11000,166
5500,12000,167
5500,12500,168
5500,12949,169
6000,500,170
6000,3000,171
6000,3500,172
6000,4000,173
6000,4500,174
6000,6000,175
6000,7000,176
6000,7500,177
6000,8000,178
6000,8500,179
6000,9000,180
6000,9500,181
6000,10000,182
6000,10500,183
6000,11500,184
6000,12500,185
6000,12949,186
6500,500,187
6500,1500,188
6500,2500,189
6500,3500,190
6500,4000,191
6500,4500,192
6500,5000,193
6500,6000,194
6500,7500,195
6500,8000,196
6500,10000,197
6500,10500,198
6500,12000,199
6500,12500,200
6500,12949,201
7000,500,202
7000,1000,203
7000,1500,204
7000,3000,205
7000,3500,206
7000,4000,207
7000,5500,208
7000,6000,209
7000,6500,210
7000,7000,211
7000,7500,212
7000,8500,213
7000,9000,214
7000,10000,215
7000,11000,216
7000,11500,217
7000,12000,218
7000,12500,219
7500,1000,220
7500,1500,221
7500,2500,222
7500,3000,223
7500,4000,224
7500,4500,225
7500,5500,226
7500,6000,227
7500,7500,228
7500,9000,229
7500,9500,230
7500,10500,231
7500,11000,232
7500,12000,233
7500,12500,234
7500,12949,235
8000,500,236
8000,1000,237
8000,1500,238
8000,2000,239
8000,3000,240
8000,3500,241
8000,4000,242
8000,4500,243
8000,5000,244
8000,6500,245
8000,8000,246
8000,8500,247
8000,9000,248
8000,9500,249
8000,10000,250
8000,11000,251
8000,11500,252
8000,12000,253
8000,12500,254
8500,500,255
8500,1000,256
8500,1500,257
8500,2000,258
8500,2500,259
8500,3000,260
8500,4500,261
8500,5500,262
8500,7000,263
8500,7500,264
8500,8500,265
8500,10500,266
8500,11000,267
8500,12000,268
8500,12500,269
8500,12949,270
9000,500,271
9000,1000,272
9000,1500,273
9000,2500,274
9000,3000,275
9000,3500,276
9000,4500,277
9000,5000,278
9000,5500,279
9000,6000,280
9000,7500,281
9000,8500,282
9000,10000,283
9000,10500,284
9000,11000,285
9000,12000,286
9000,12500,287
9000,12949,288
9500,500,289
9500,1000,290
9500,2000,291
9500,3000,292
9500,3500,293
9500,5000,294
9500,6000,295
9500,6500,296
9500,7500,297
9500,8500,298
9500,9500,299
9500,10000,300
9500,11000,301
9500,11500,302
9500,12500,303
9500,12949,304
10000,500,305
10000,1000,306
10000,1500,307
10000,2500,308
10000,3500,309
10000,4000,310
10000,4500,311
10000,5000,312
10000,7000,313
10000,7500,314
10000,8000,315
10000,8500,316
10000,9500,317
10000,11000,318
10000,12000,319
10000,12500,320
10000,12949,321
10500,1000,322
10500,1500,323
10500,2000,324
10500,2500,325
10500,3000,326
10500,3500,327
10500,4000,328
10500,4500,329
10500,5000,330
10500,5500,331
10500,6000,332
10500,7000,333
10500,8000,334
10500,9500,335
10500,10000,336
10500,10500,337
10500,12000,338
10500,12500,339
11000,500,340
11000,1000,341
11000,1500,342
11000,2000,343
11000,2500,344
11000,3500,345
11000,4500,346
11000,5500,347
11000,7000,348
11000,9500,349
11000,11000,350
11000,11500,351
11500,1000,352
11500,1500,353
11500,2000,354
11500,3500,355
11500,4000,356
11500,4500,357
11500,5500,358
11500,6500,359
11500,7000,360
11500,7500,361
11500,8000,362
11500,9500,363
11500,10500,364
11500,11500,365
11500,12000,366
11500,12500,367
12000,500,368
12000,2000,369
12000,2500,370
12000,3000,371
12000,3500,372
12000,5000,373
12000,7000,374
12000,7500,375
12000,8000,376
12000,9500,377
12000,10000,378
12000,11000,379
12000,11500,380
12000,12500,381
12000,12949,382
12500,1000,383
12500,1500,384
12500,2000,385
12500,2500,386
12500,5000,387
12500,5500,388
12500,6000,389
12500,7000,390
12500,7500,391
12500,8500,392
12500,9000,393
12500,9500,394
12500,10000,395
12500,10500,396
12500,11500,397
12500,12000,398
12500,12500,399
13000,500,400
13000,1500,401
13000,2000,402
13000,3000,403
13000,3500,404
13000,6500,405
13000,7500,406
13000,8000,407
13000,8500,408
13000,9000,409
13000,9500,410
13000,10000,411
13000,10500,412
13000,12000,413
13000,12949,414
13500,1000,415
13500,1500,416
13500,2000,417
13500,2500,418
13500,3500,419
13500,4500,420
13500,5000,421
13500,5500,422
13500,6000,423
13500,8000,424
13500,9500,425
13500,10000,426
13500,11000,427
13500,11500,428
13500,12500,429
13500,12949,430
14000,500,431
14000,1000,432
14000,1500,433
14000,2000,434
14000,2500,435
14000,3000,436
14000,5000,437
14000,5500,438
14000,6000,439
14000,6500,440
14000,7000,441
14000,7500,442
14000,8000,443
14000,9000,444
14000,9500,445
14000,10000,446
14000,11000,447
14000,11500,448
14000,12000,449
14000,12500,450
14000,12949,451
14500,2000,452
14500,2500,453
14500,4500,454
14500,5000,455
14500,5500,456
14500,6500,457
14500,8000,458
14500,8500,459
14500,9000,460
14500,9500,461
14500,10500,462
14500,11000,463
14500,11500,464
15000,1000,465
15000,3000,466
15000,3500,467
15000,4500,468
15000,5000,469
15000,5500,470
15000,6000,471
15000,6500,472
15000,7000,473
15000,9000,474
15000,9500,475
15000,10000,476
15000,12949,477
15500,500,478
15500,1000,479
15500,1500,480
15500,2000,481
15500,4000,482
15500,5000,483
15500,5500,484
15500,6000,485
15500,7500,486
15500,8000,487
15500,9000,488
15500,10500,489
15500,11000,490
15500,11500,491
15500,12500,492
15500,12949,493
16000,1000,494
16000,2000,495
16000,3000,496
16000,3500,497
16000,4000,498
16000,4500,499
16000,5500,500
16000,7000,501
16000,8000,502
16000,9500,503
16000,10500,504
16000,12500,505
16000,12949,506
16500,2000,507
16500,3000,508
16500,4000,509
16500,5000,510
16500,6500,511
16500,8000,512
16500,9500,513
16500,10000,514
16500,10500,515
16500,12000,516
16500,12500,517
16500,12949,518
17000,500,519
17000,1500,520
17000,2500,521
17000,3000,522
17000,3500,523
17000,4000,524
17000,5000,525
17000,6000,526
17000,6500,527
17000,7500,528
17000,8000,529
17000,9000,530
17000,9500,531
17000,10000,532
17000,11000,533
17000,11500,534
17000,12000,535
17000,12949,536
17500,500,537
17500,1000,538
17500,1500,539
17500,2000,540
17500,3500,541
17500,4000,542
17500,5000,543
17500,5500,544
17500,6000,545
17500,6500,546
17500,7000,547
17500,7500,548
17500,8000,549
17500,9500,550
17500,10000,551
17500,10500,552
17500,11000,553
17500,11500,554
18000,500,555
18000,2000,556
18000,2500,557
18000,3000,558
18000,3500,559
18000,4000,560
18000,5000,561
18000,6500,562
18000,7500,563
18000,8500,564
18000,10000,565
18000,10500,566
18000,11500,567
18000,12000,568
18500,500,569
18500,1000,570
18500,1500,571
18500,2000,572
18500,3500,573
18500,4000,574
18500,5500,575
18500,7000,576
18500,9500,577
18500,10000,578
18500,10500,579
18500,11500,580
18500,12000,581
18500,12949,582
19000,500,583
19000,1000,584
19000,1500,585
19000,2000,586
19000,3000,587
19000,4000,588
19000,7500,589
19000,8000,590
19000,9000,591
19000,9500,592
19000,10000,593
19000,10500,594
19000,11000,595
19000,12500,596
19500,1000,597
19500,1500,598
19500,2000,599
19500,2500,600
19500,3000,601
19500,4000,602
19500,5500,603
19500,6000,604
19500,7500,605
19500,9500,606
19500,11000,607
19500,12000,608
19500,12500,609
19500,12949,610
20000,500,611
20000,1500,612
20000,2000,613
20000,2500,614
20000,5000,615
20000,5500,616
20000,6500,617
20000,7500,618
20000,8000,619
20000,8500,620
20000,9000,621
20000,11000,622
20000,11500,623
20000,12000,624
20000,12500,625
20000,12949,626
20019,1500,627
20019,2500,628
20019,3500,629
20019,4500,630
20019,8000,631
20019,9000,632
20019,9500,633
20019,10000,634
20019,10500,635
20019,11000,636
20019,11500,637
20019,12000,638
20019,12500,639
