"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles","Hoofdstedelijk Gewest|Région Capitale","Capital Region",NA,"Brussel Hoofstadt|Brusselse Hoofdstedelijke Gewest|Brüssel|Bruxelas|Région de Bruxelles-Capitale|Brussels|Bruselas"
2,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen","Provincie","Province",NA,"Amberes|Antuérpia|Antwerp|Anvers|Anversa"
3,23,"BEL","Belgium",2,"Vlaanderen",3,"Limburg","Provincie","Province",NA,"Limbourg|Limburgo"
4,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen","Provincie","Province",NA,"Flandres Oriental|Fiandra Orientale|Flandes Oriental|Flandre orientale|East Flanders|Ost Flandern"
5,23,"BEL","Belgium",2,"Vlaanderen",5,"Vlaams Brabant","Provincie","Province",NA,"Brabant Flamand|Brabante Flamenco|Brabante Flamengo|Flemish Brabant"
6,23,"BEL","Belgium",2,"Vlaanderen",6,"West-Vlaanderen","Provincie","Province",NA,"Fiandra Occidentale|Flandes Occidental|Flandre occidentale|Flandres Ocidental|West Flandern|West Flanders"
7,23,"BEL","Belgium",3,"Wallonie",7,"Brabant Wallon","Provincie","Province",NA,"Waals Brabant|Walloon Brabant"
8,23,"BEL","Belgium",3,"Wallonie",8,"Hainaut","Provincie","Province",NA,"Henegouwen|Hennegau"
9,23,"BEL","Belgium",3,"Wallonie",9,"Liège","Provincie","Province",NA,"Luik|Liegi|Lieja|Lüttich"
10,23,"BEL","Belgium",3,"Wallonie",10,"Limburg","Provincie","Province",NA,"Limbourg|Limburgo"
11,23,"BEL","Belgium",3,"Wallonie",11,"Luxembourg","Provincie","Province",NA,"Lussemburgo|Luxemburg|Luxemburgo"
12,23,"BEL","Belgium",3,"Wallonie",12,"Namur","Provincie","Province",NA,"Namen"
